First.alp,A.E.words,length
a,a,1
a,a's,3
a,aa's,4
a,ab's,4
a,abm's,5
a,ac's,4
a,acth's,6
a,ai's,4
a,aids's,6
a,am's,4
a,aol,3
a,aol's,5
a,ascii's,7
a,asl's,5
a,atm's,5
a,atp's,5
a,awol's,6
a,az's,4
a,azt's,5
a,aachen,6
a,aaliyah,7
a,aaliyah's,9
a,aaron,5
a,abbas,5
a,abbasid,7
a,abbott,6
a,abbott's,8
a,abby,4
a,abby's,6
a,abdul,5
a,abdul's,7
a,abe,3
a,abe's,5
a,abel,4
a,abel's,6
a,abelard,7
a,abelson,7
a,abelson's,9
a,aberdeen,8
a,aberdeen's,10
a,abernathy,9
a,abernathy's,11
a,abidjan,7
a,abidjan's,9
a,abigail,7
a,abilene,7
a,abner,5
a,abner's,7
a,abraham,7
a,abraham's,9
a,abram,5
a,abram's,7
a,abrams,6
a,absalom,7
a,abuja,5
a,abyssinia,9
a,abyssinia's,11
a,abyssinian,10
a,abyssinian's,12
a,ac,2
a,ac's,4
a,acadia,6
a,acadia's,8
a,acapulco,8
a,acapulco's,10
a,accenture,9
a,accenture's,11
a,accra,5
a,accra's,7
a,acevedo,7
a,acevedo's,9
a,achaean,7
a,achaean's,9
a,achebe,6
a,achebe's,8
a,achernar,8
a,acheson,7
a,acheson's,9
a,achilles,8
a,achilles's,10
a,aconcagua,9
a,aconcagua's,11
a,acosta,6
a,acosta's,8
a,acropolis,9
a,acrux,5
a,acrux's,7
a,actaeon,7
a,acton,5
a,acts,4
a,acuff,5
a,acuff's,7
a,ada,3
a,ada's,5
a,adam,4
a,adam's,6
a,adams,5
a,adan,4
a,adan's,6
a,adana,5
a,adar,4
a,adar's,6
a,addams,6
a,adderley,8
a,adderley's,10
a,addie,5
a,addie's,7
a,addison,7
a,adela,5
a,adela's,7
a,adelaide,8
a,adelaide's,10
a,adele,5
a,adele's,7
a,adeline,7
a,adeline's,9
a,aden,4
a,aden's,6
a,adenauer,8
a,adhara,6
a,adhara's,8
a,adidas,6
a,adidas's,8
a,adirondack,10
a,adirondack's,12
a,adirondacks,11
a,adirondacks's,13
a,adkins,6
a,adkins's,8
a,adler,5
a,adolf,5
a,adolf's,7
a,adolfo,6
a,adolfo's,8
a,adolph,6
a,adolph's,8
a,adonis,6
a,adonis's,8
a,adonises,8
a,adrian,6
a,adriana,7
a,adriana's,9
a,adriatic,8
a,adriatic's,10
a,adrienne,8
a,adrienne's,10
a,advent,6
a,advent's,8
a,adventist,9
a,adventist's,11
a,advents,7
a,advil,5
a,advil's,7
a,aegean,6
a,aegean's,8
a,aelfric,7
a,aelfric's,9
a,aeneas,6
a,aeneas's,8
a,aeneid,6
a,aeneid's,8
a,aeolus,6
a,aeolus's,8
a,aeroflot,8
a,aeroflot's,10
a,aeschylus,9
a,aeschylus's,11
a,aesculapius,11
a,aesculapius's,13
a,aesop,5
a,aesop's,7
a,afghan,6
a,afghan's,8
a,afghanistan,11
a,afghanistan's,13
a,afghans,7
a,africa,6
a,africa's,8
a,african,7
a,african's,9
a,africans,8
a,afrikaans,9
a,afrikaans's,11
a,afrikaner,9
a,afrikaner's,11
a,afrikaners,10
a,afro,4
a,afro's,6
a,afrocentrism,12
a,afros,5
a,ag,2
a,ag's,4
a,agamemnon,9
a,agamemnon's,11
a,agassi,6
a,agassi's,8
a,agassiz,7
a,agassiz's,9
a,agatha,6
a,agatha's,8
a,aggie,5
a,aglaia,6
a,agnes,5
a,agnew,5
a,agnew's,7
a,agni,4
a,agni's,6
a,agra,4
a,agricola,8
a,agrippa,7
a,agrippa's,9
a,agrippina,9
a,agrippina's,11
a,aguilar,7
a,aguilar's,9
a,aguinaldo,9
a,aguinaldo's,11
a,aguirre,7
a,aguirre's,9
a,agustin,7
a,agustin's,9
a,ahab,4
a,ahab's,6
a,ahmad,5
a,ahmad's,7
a,ahmadabad,9
a,ahmadinejad,11
a,ahmadinejad's,13
a,ahmed,5
a,ahmed's,7
a,ahriman,7
a,ahriman's,9
a,aida,4
a,aida's,6
a,aiken,5
a,aileen,6
a,aileen's,8
a,aimee,5
a,aimee's,7
a,ainu,4
a,airedale,8
a,airedale's,10
a,airedales,9
a,aisha,5
a,ajax,4
a,ajax's,6
a,akbar,5
a,akhmatova,9
a,akhmatova's,11
a,akihito,7
a,akita,5
a,akiva,5
a,akiva's,7
a,akkad,5
a,akron,5
a,akron's,7
a,al,2
a,al's,4
a,ala,3
a,alabama,7
a,alabama's,9
a,alabaman,8
a,alabaman's,10
a,alabamans,9
a,alabamian,9
a,alabamian's,11
a,alabamians,10
a,aladdin,7
a,aladdin's,9
a,alamo,5
a,alamo's,7
a,alamogordo,10
a,alamogordo's,12
a,alan,4
a,alan's,6
a,alana,5
a,alana's,7
a,alar,4
a,alar's,6
a,alaric,6
a,alaska,6
a,alaska's,8
a,alaskan,7
a,alaskan's,9
a,alaskans,8
a,alba,4
a,albania,7
a,albania's,9
a,albanian,8
a,albanian's,10
a,albanians,9
a,albany,6
a,albany's,8
a,albee,5
a,alberio,7
a,alberio's,9
a,albert,6
a,alberta,7
a,alberta's,9
a,alberto,7
a,alberto's,9
a,albigensian,11
a,albion,6
a,albireo,7
a,albireo's,9
a,albuquerque,11
a,albuquerque's,13
a,alcatraz,8
a,alcestis,8
a,alcibiades,10
a,alcindor,8
a,alcindor's,10
a,alcmena,7
a,alcmena's,9
a,alcoa,5
a,alcoa's,7
a,alcott,6
a,alcuin,6
a,alcyone,7
a,aldan,5
a,aldebaran,9
a,aldebaran's,11
a,alden,5
a,alderamin,9
a,alderamin's,11
a,aldo,4
a,aldo's,6
a,aldrin,6
a,aldrin's,8
a,alec,4
a,alec's,6
a,aleichem,8
a,aleichem's,10
a,alejandra,9
a,alejandra's,11
a,alejandro,9
a,alejandro's,11
a,alembert,8
a,alembert's,10
a,aleppo,6
a,aleppo's,8
a,aleut,5
a,aleut's,7
a,aleutian,8
a,aleutian's,10
a,alex,4
a,alex's,6
a,alexander,9
a,alexander's,11
a,alexandra,9
a,alexandria,10
a,alexandria's,12
a,alexei,6
a,alexei's,8
a,alexis,6
a,alfonso,7
a,alfonso's,9
a,alfonzo,7
a,alfonzo's,9
a,alford,6
a,alford's,8
a,alfred,6
a,alfreda,7
a,alfreda's,9
a,alfredo,7
a,algenib,7
a,algenib's,9
a,alger,5
a,algeria,7
a,algeria's,9
a,algerian,8
a,algerian's,10
a,algerians,9
a,algieba,7
a,algieba's,9
a,algiers,7
a,algiers's,9
a,algol,5
a,algol's,7
a,algonquian,10
a,algonquian's,12
a,algonquians,11
a,algonquin,9
a,algonquin's,11
a,alhambra,8
a,alhena,6
a,alhena's,8
a,ali,3
a,alice,5
a,alice's,7
a,alicia,6
a,alicia's,8
a,alighieri,9
a,alighieri's,11
a,aline,5
a,aline's,7
a,alioth,6
a,alioth's,8
a,alisa,5
a,alisa's,7
a,alisha,6
a,alisha's,8
a,alison,6
a,alison's,8
a,alissa,6
a,alissa's,8
a,alistair,8
a,alistair's,10
a,alkaid,6
a,alkaid's,8
a,allah,5
a,allah's,7
a,allahabad,9
a,allan,5
a,allan's,7
a,alleghenies,11
a,alleghenies's,13
a,allegheny,9
a,allegra,7
a,allegra's,9
a,allen,5
a,allende,7
a,allende's,9
a,allentown,9
a,allie,5
a,allie's,7
a,allison,7
a,allison's,9
a,allstate,8
a,allstate's,10
a,allyson,7
a,allyson's,9
a,alma,4
a,alma's,6
a,almach,6
a,almach's,8
a,almaty,6
a,almaty's,8
a,almighty,8
a,almighty's,10
a,almohad,7
a,almohad's,9
a,almoravid,9
a,almoravid's,11
a,alnilam,7
a,alnilam's,9
a,alnitak,7
a,alnitak's,9
a,alonzo,6
a,alonzo's,8
a,alpert,6
a,alpert's,8
a,alphard,7
a,alphard's,9
a,alphecca,8
a,alphecca's,10
a,alpheratz,9
a,alpheratz's,11
a,alphonse,8
a,alphonse's,10
a,alphonso,8
a,alphonso's,10
a,alpine,6
a,alpo,4
a,alpo's,6
a,alps,4
a,alps's,6
a,alsace,6
a,alsace's,8
a,alsatian,8
a,alsatian's,10
a,alsop,5
a,alsop's,7
a,alston,6
a,alston's,8
a,alta,4
a,altai,5
a,altai's,7
a,altaic,6
a,altaic's,8
a,altair,6
a,altamira,8
a,althea,6
a,althea's,8
a,altiplano,9
a,altiplano's,11
a,altman,6
a,altman's,8
a,altoids,7
a,altoids's,9
a,alton,5
a,alton's,7
a,aludra,6
a,aludra's,8
a,alva,4
a,alvarado,8
a,alvarado's,10
a,alvarez,7
a,alvarez's,9
a,alvaro,6
a,alvaro's,8
a,alvin,5
a,alvin's,7
a,alyce,5
a,alyce's,7
a,alyson,6
a,alyson's,8
a,alyssa,6
a,alyssa's,8
a,alzheimer,9
a,alzheimer's,11
a,am,2
a,am's,4
a,amadeus,7
a,amadeus's,9
a,amado,5
a,amado's,7
a,amalia,6
a,amalia's,8
a,amanda,6
a,amanda's,8
a,amarillo,8
a,amaru,5
a,amaru's,7
a,amaterasu,9
a,amaterasu's,11
a,amati,5
a,amazon,6
a,amazon's,8
a,amazons,7
a,amber,5
a,amber's,7
a,amelia,6
a,amelia's,8
a,amenhotep,9
a,amenhotep's,11
a,amerasian,9
